ticker,group,date,close,chg_1d_pct,ema10,ema21,sma50,sma200,ma_stack_bull,ma_stack_bear,atr14,atr_pct,atr_vs_50d,ext_21ema_atr,ext_50sma_atr,volume,vol_ratio_50d,dollar_vol_20d_m,close_pos_in_bar,prior_20d_high,prior_20d_low,high_52w,low_52w,dist_52w_high_pct,inside_day,nr7,perf_1m,perf_3m,perf_6m,dist_days_25,rs_1m_vs_spy,rs_3m_vs_spy,rs_6m_vs_spy,rs_line_52w_high,rs_leads_price
MU,watchlist,2026-09-17,977.5,5.499,958.165,953.55,926.774,636.139,True,False,50.05,5.12,0.691,0.479,1.014,22091600.0,0.632,23304.839,0.734,1042.4,887.61,1254.807,154.402,-22.1,False,False,3.905,-6.283,111.825,6,4.537,-9.468,95.917,False,False
NVDA,watchlist,2026-09-17,219.34,2.543,217.743,217.901,213.673,197.807,False,False,6.539,2.981,0.909,0.22,0.867,94191300.0,0.751,28434.569,0.793,234.498,207.018,236.001,163.895,-7.06,False,False,-0.07,7.298,21.863,6,0.562,4.112,5.955,False,False
ORCL,watchlist,2026-09-17,150.59,5.19,148.765,148.428,140.925,165.729,False,False,7.736,5.137,1.019,0.28,1.249,27742400.0,0.858,4362.104,0.759,170.7,137.43,325.787,114.5,-53.777,False,False,5.463,-17.663,-0.823,3,6.095,-20.848,-16.731,False,False
PLTR,watchlist,2026-09-17,176.24,1.09,173.444,171.842,157.287,151.702,True,False,7.18,4.074,0.948,0.613,2.64,23776100.0,0.642,4979.785,0.689,188.37,164.55,207.52,106.37,-15.073,False,False,2.74,34.915,15.363,5,3.372,31.73,-0.545,False,False
QCOM,watchlist,2026-09-17,188.71,2.094,179.933,174.24,168.067,166.926,True,False,7.648,4.053,0.873,1.892,2.699,12318000.0,1.063,2019.779,0.229,191.28,155.384,257.562,120.883,-26.732,False,True,18.445,-10.909,45.963,5,19.077,-14.095,30.055,False,False
SMCI,watchlist,2026-09-17,40.35,9.498,38.037,37.259,33.34,31.575,True,False,2.459,6.095,1.023,1.257,2.85,62517100.0,1.351,1440.548,0.793,41.53,34.09,58.78,19.48,-31.354,False,False,7.859,45.248,32.949,3,8.491,42.063,17.041,False,False
SOFI,watchlist,2026-09-17,16.73,-0.653,17.338,17.627,17.749,19.576,False,True,0.74,4.425,0.856,-1.212,-1.376,43224700.0,0.723,712.238,0.045,19.495,16.53,32.73,14.88,-48.885,False,False,-5.266,-3.961,-2.619,6,-4.634,-7.147,-18.528,False,False
SOXL,watchlist,2026-09-17,114.82,10.436,111.828,116.702,130.335,111.938,False,False,12.323,10.732,0.537,-0.153,-1.259,56833100.0,0.878,6352.789,0.81,133.74,98.62,302.0,28.12,-61.98,False,True,-11.061,-50.902,112.551,6,-10.429,-54.088,96.643,False,False
TSLA,watchlist,2026-09-17,366.2,2.268,361.114,357.511,351.091,397.655,False,False,13.44,3.67,0.877,0.646,1.124,38924100.0,1.029,14190.787,0.273,384.04,335.7,498.83,297.38,-26.588,False,False,8.707,-7.614,-6.767,4,9.339,-10.8,-22.676,False,False
TSLL,watchlist,2026-09-17,9.71,4.296,9.503,9.4,9.332,13.681,False,False,0.707,7.277,0.802,0.439,0.535,70963900.0,0.821,829.655,0.232,10.79,8.42,23.26,6.695,-58.255,False,False,14.505,-24.255,-28.848,4,15.137,-27.44,-44.756,False,False
TSM,watchlist,2026-09-17,430.26,3.002,422.953,421.414,416.348,376.678,True,False,11.246,2.614,0.732,0.787,1.237,12447700.0,1.052,4076.862,0.962,443.101,404.066,477.718,255.278,-9.934,False,False,4.355,-0.17,27.345,5,4.987,-3.356,11.436,False,False
UBER,watchlist,2026-09-17,70.87,-0.141,72.562,73.747,73.75,75.753,False,True,2.31,3.259,0.901,-1.245,-1.247,19808400.0,1.088,1300.154,0.45,82.365,69.24,101.99,65.41,-30.513,False,False,-5.076,-0.056,-7.553,6,-4.444,-3.242,-23.461,False,False
V,watchlist,2026-09-17,369.93,-0.27,372.274,371.753,366.371,334.685,False,False,5.871,1.587,0.804,-0.31,0.606,4710000.0,0.709,2101.925,0.377,385.57,362.9,385.57,292.738,-4.056,True,False,1.559,12.179,24.201,6,2.191,8.993,8.293,False,False
WMT,watchlist,2026-09-17,106.79,-0.66,107.121,107.537,109.851,118.237,False,True,2.098,1.965,0.797,-0.356,-1.459,19216200.0,0.815,2878.215,0.388,116.591,102.15,134.837,98.054,-20.801,False,False,-7.078,-9.383,-11.895,7,-6.446,-12.569,-27.804,False,False
XOM,watchlist,2026-09-17,163.27,-0.031,164.058,162.393,156.734,145.093,False,False,3.812,2.335,1.068,0.23,1.715,10976500.0,0.774,2214.877,0.938,169.64,155.32,174.093,107.281,-6.217,False,True,-1.383,16.759,4.983,6,-0.751,13.574,-10.925,False,False
